epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2839,1.32084,2.18934,1.44533,0.62924,0.43472,0.45515,0.2049,1.80206,2.24967,1.91414,0.000473411,0.000473411,0.000473411
2,32.0288,1.29589,1.77968,1.43557,0.43554,0.40403,0.34704,0.13521,2.1829,2.66973,2.3981,0.000930939,0.000930939,0.000930939
3,46.5428,1.29934,1.72719,1.42962,0.58686,0.39117,0.43627,0.18744,2.00482,2.20936,2.09977,0.00136961,0.00136961,0.00136961
4,61.3179,1.28936,1.68012,1.43386,0.46037,0.36837,0.36555,0.15514,2.13344,2.42157,2.15192,0.00134412,0.00134412,0.00134412
5,76.0878,1.25167,1.57588,1.40285,0.57715,0.39959,0.42942,0.17695,2.01298,2.19671,2.07669,0.00131582,0.00131582,0.00131582
6,90.8878,1.21734,1.51547,1.38312,0.64398,0.47329,0.53721,0.25379,1.85016,1.81683,1.91766,0.00128753,0.00128753,0.00128753
7,105.642,1.18644,1.45182,1.36238,0.67458,0.50466,0.54541,0.24112,1.92089,1.5953,1.94252,0.00125923,0.00125923,0.00125923
8,120.388,1.16668,1.40415,1.34489,0.71958,0.50532,0.5383,0.26673,1.82307,1.63762,1.82908,0.00123094,0.00123094,0.00123094
9,135.14,1.1543,1.35588,1.33528,0.64764,0.51063,0.56157,0.26577,1.87102,1.61553,1.90646,0.00120265,0.00120265,0.00120265
10,149.134,1.13749,1.31706,1.32501,0.67001,0.49489,0.54204,0.24396,1.84322,1.70075,1.87903,0.00117435,0.00117435,0.00117435
11,162.939,1.11937,1.28627,1.3116,0.72583,0.5692,0.60465,0.29527,1.87389,1.55667,1.96279,0.00114606,0.00114606,0.00114606
12,176.724,1.10673,1.25941,1.29899,0.7231,0.54136,0.62168,0.31469,1.7426,1.50111,1.79814,0.00111776,0.00111776,0.00111776
